0.00	3180.00
	1.16	4868.00
	1.64	6064.00
	1.78	7168.00
	2.06	8120.00
	2.05	9076.00
	3.81	22988.00
	6.04	38588.00
	7.93	54184.00
	9.43	69788.00
	10.70	85384.00
	11.67	102028.00
	12.65	119708.00
	13.21	137384.00
	13.65	155068.00
	14.10	172744.00
	14.54	190428.00
	14.77	208104.00
	14.87	225784.00
	15.10	243464.00
	15.31	261152.00
	15.31	278836.00
	15.33	296508.00
	15.43	314188.00
	15.54	331868.00
	15.54	349548.00
	15.65	367224.00
	15.65	384908.00
	15.65	402584.00
	15.54	420264.00
	15.65	437948.00
	15.65	455624.00
	15.65	473308.00
	15.65	490984.00
	15.65	508668.00
	15.65	526352.00
	15.76	544036.00
	15.66	561708.00
	15.65	579384.00
	15.76	597072.00
	15.65	614748.00
	15.76	632428.00
	15.76	650108.00
	15.65	667784.00
	15.76	685464.00
	15.76	703144.00
	15.76	720824.00
	15.75	738516.00
	15.66	756188.00
	15.76	773868.00
	15.65	791544.00
	15.65	809228.00
	15.65	826908.00
	15.65	844588.00
